Year,rank,Realized CEO compensation,Granted CEO compensation,Decades,rank1,Avg. Realized CEO compensation,Avg. Granted CEO compensation
1965,0,21.1,15.4,1960,0,23.28,17
1966,0,22.3,16.3,1970,0,27,19.8
1967,0,23.6,17.3,1980,0,49.13,36
1968,0,24.8,18.2,1990,0,153.05,154.1
1969,0,24.6,18,2000,0,261.94,253.4
1970,0,24.3,17.8,2010,0,297.81,208.3
1971,0,24,17.6,1960,1,23.28,17
1972,0,23.7,17.4,1970,1,27,19.8
1973,0,23.4,17.2,1980,1,49.13,36
1974,0,25,18.3,1990,1,153.05,154.1
1975,0,26.6,19.5,2000,1,261.94,253.4
1976,0,28.2,20.7,2010,1,297.81,208.3
1977,0,29.8,21.8,1960,2,23.28,17
1978,0,31.4,23,1970,2,27,19.8
1979,0,34.1,25,1980,2,49.13,36
1980,0,36.9,27,1990,2,153.05,154.1
1981,0,39.6,29,2000,2,261.94,253.4
1982,0,42.3,31,2010,2,297.81,208.3
1983,0,45,33,1960,3,23.28,17
1984,0,47.8,35,1970,3,27,19.8
1985,0,50.5,37,1980,3,49.13,36
1986,0,53.2,39,1990,3,153.05,154.1
1987,0,55.9,41,2000,3,261.94,253.4
1988,0,58.7,43,2010,3,297.81,208.3
1989,0,61.4,45,1960,4,23.28,17
1990,0,77.3,56.6,1970,4,27,19.8
1991,0,93.1,68.2,1980,4,49.13,36
1992,0,109,79.8,1990,4,153.05,154.1
1993,0,108.6,99.6,2000,4,261.94,253.4
1994,0,87.4,116.6,2010,4,297.81,208.3
1995,0,117.6,131,1960,5,23.28,17
1996,0,150.6,177,1970,5,27,19.8
1997,0,223.4,234.1,1980,5,49.13,36
1998,0,297.4,293.4,1990,5,153.05,154.1
1999,0,266.1,284.4,2000,5,261.94,253.4
2000,0,365.7,386.1,2010,5,297.81,208.3
2001,0,210.6,322.6,1960,6,23.28,17
2002,0,186.8,235,1970,6,27,19.8
2003,0,228.8,227,1980,6,49.13,36
2004,0,265.7,235,1990,6,153.05,154.1
2005,0,318.4,244.5,2000,6,261.94,253.4
2006,0,328.2,244.1,2010,6,297.81,208.3
2007,0,330.9,242,1960,7,23.28,17
2008,0,206.7,219.4,1970,7,27,19.8
2009,0,177.6,178.3,1980,7,49.13,36
2010,0,213.1,202.8,1990,7,153.05,154.1
2011,0,242.4,208.1,2000,7,261.94,253.4
2012,0,371.7,201.3,2010,7,297.81,208.3
2013,0,318.5,209.7,1960,8,23.28,17
2014,0,326.6,217.2,1970,8,27,19.8
2015,0,318.8,209.5,1980,8,49.13,36
2016,0,271.6,205.8,1990,8,153.05,154.1
2017,0,302.1,193.2,2000,8,261.94,253.4
2018,0,293.3,212.3,2010,8,297.81,208.3
2019,0,320,222.8,1960,9,23.28,17
1965,1,21.1,15.4,1970,9,27,19.8
1966,1,22.3,16.3,1980,9,49.13,36
1967,1,23.6,17.3,1990,9,153.05,154.1
1968,1,24.8,18.2,2000,9,261.94,253.4
1969,1,24.6,18,2010,9,297.81,208.3
1970,1,24.3,17.8,1960,10,23.28,17
1971,1,24,17.6,1970,10,27,19.8
1972,1,23.7,17.4,1980,10,49.13,36
1973,1,23.4,17.2,1990,10,153.05,154.1
1974,1,25,18.3,2000,10,261.94,253.4
1975,1,26.6,19.5,2010,10,297.81,208.3
1976,1,28.2,20.7,1960,11,23.28,17
1977,1,29.8,21.8,1970,11,27,19.8
1978,1,31.4,23,1980,11,49.13,36
1979,1,34.1,25,1990,11,153.05,154.1
1980,1,36.9,27,2000,11,261.94,253.4
1981,1,39.6,29,2010,11,297.81,208.3
1982,1,42.3,31,1960,12,23.28,17
1983,1,45,33,1970,12,27,19.8
1984,1,47.8,35,1980,12,49.13,36
1985,1,50.5,37,1990,12,153.05,154.1
1986,1,53.2,39,2000,12,261.94,253.4
1987,1,55.9,41,2010,12,297.81,208.3
1988,1,58.7,43,1960,13,23.28,17
1989,1,61.4,45,1970,13,27,19.8
1990,1,77.3,56.6,1980,13,49.13,36
1991,1,93.1,68.2,1990,13,153.05,154.1
1992,1,109,79.8,2000,13,261.94,253.4
1993,1,108.6,99.6,2010,13,297.81,208.3
1994,1,87.4,116.6,1960,14,23.28,17
1995,1,117.6,131,1970,14,27,19.8
1996,1,150.6,177,1980,14,49.13,36
1997,1,223.4,234.1,1990,14,153.05,154.1
1998,1,297.4,293.4,2000,14,261.94,253.4
1999,1,266.1,284.4,2010,14,297.81,208.3
2000,1,365.7,386.1,1960,15,23.28,17
2001,1,210.6,322.6,1970,15,27,19.8
2002,1,186.8,235,1980,15,49.13,36
2003,1,228.8,227,1990,15,153.05,154.1
2004,1,265.7,235,2000,15,261.94,253.4
2005,1,318.4,244.5,2010,15,297.81,208.3
2006,1,328.2,244.1,1960,16,23.28,17
2007,1,330.9,242,1970,16,27,19.8
2008,1,206.7,219.4,1980,16,49.13,36
2009,1,177.6,178.3,1990,16,153.05,154.1
2010,1,213.1,202.8,2000,16,261.94,253.4
2011,1,242.4,208.1,2010,16,297.81,208.3
2012,1,371.7,201.3,1960,17,23.28,17
2013,1,318.5,209.7,1970,17,27,19.8
2014,1,326.6,217.2,1980,17,49.13,36
2015,1,318.8,209.5,1990,17,153.05,154.1
2016,1,271.6,205.8,2000,17,261.94,253.4
2017,1,302.1,193.2,2010,17,297.81,208.3
2018,1,293.3,212.3,1960,18,23.28,17
2019,1,320,222.8,1970,18,27,19.8
1965,2,21.1,15.4,1980,18,49.13,36
1966,2,22.3,16.3,1990,18,153.05,154.1
1967,2,23.6,17.3,2000,18,261.94,253.4
1968,2,24.8,18.2,2010,18,297.81,208.3
1969,2,24.6,18,1960,19,23.28,17
1970,2,24.3,17.8,1970,19,27,19.8
1971,2,24,17.6,1980,19,49.13,36
1972,2,23.7,17.4,1990,19,153.05,154.1
1973,2,23.4,17.2,2000,19,261.94,253.4
1974,2,25,18.3,2010,19,297.81,208.3
1975,2,26.6,19.5,1960,20,23.28,17
1976,2,28.2,20.7,1970,20,27,19.8
1977,2,29.8,21.8,1980,20,49.13,36
1978,2,31.4,23,1990,20,153.05,154.1
1979,2,34.1,25,2000,20,261.94,253.4
1980,2,36.9,27,2010,20,297.81,208.3
1981,2,39.6,29,1960,21,23.28,17
1982,2,42.3,31,1970,21,27,19.8
1983,2,45,33,1980,21,49.13,36
1984,2,47.8,35,1990,21,153.05,154.1
1985,2,50.5,37,2000,21,261.94,253.4
1986,2,53.2,39,2010,21,297.81,208.3
1987,2,55.9,41,1960,22,23.28,17
1988,2,58.7,43,1970,22,27,19.8
1989,2,61.4,45,1980,22,49.13,36
1990,2,77.3,56.6,1990,22,153.05,154.1
1991,2,93.1,68.2,2000,22,261.94,253.4
1992,2,109,79.8,2010,22,297.81,208.3
1993,2,108.6,99.6,1960,23,23.28,17
1994,2,87.4,116.6,1970,23,27,19.8
1995,2,117.6,131,1980,23,49.13,36
1996,2,150.6,177,1990,23,153.05,154.1
1997,2,223.4,234.1,2000,23,261.94,253.4
1998,2,297.4,293.4,2010,23,297.81,208.3
1999,2,266.1,284.4,1960,24,23.28,17
2000,2,365.7,386.1,1970,24,27,19.8
2001,2,210.6,322.6,1980,24,49.13,36
2002,2,186.8,235,1990,24,153.05,154.1
2003,2,228.8,227,2000,24,261.94,253.4
2004,2,265.7,235,2010,24,297.81,208.3
2005,2,318.4,244.5,1960,25,23.28,17
2006,2,328.2,244.1,1970,25,27,19.8
2007,2,330.9,242,1980,25,49.13,36
2008,2,206.7,219.4,1990,25,153.05,154.1
2009,2,177.6,178.3,2000,25,261.94,253.4
2010,2,213.1,202.8,2010,25,297.81,208.3
2011,2,242.4,208.1,1960,26,23.28,17
2012,2,371.7,201.3,1970,26,27,19.8
2013,2,318.5,209.7,1980,26,49.13,36
2014,2,326.6,217.2,1990,26,153.05,154.1
2015,2,318.8,209.5,2000,26,261.94,253.4
2016,2,271.6,205.8,2010,26,297.81,208.3
2017,2,302.1,193.2,1960,27,23.28,17
2018,2,293.3,212.3,1970,27,27,19.8
2019,2,320,222.8,1980,27,49.13,36
1965,3,21.1,15.4,1990,27,153.05,154.1
1966,3,22.3,16.3,2000,27,261.94,253.4
1967,3,23.6,17.3,2010,27,297.81,208.3
1968,3,24.8,18.2,1960,28,23.28,17
1969,3,24.6,18,1970,28,27,19.8
1970,3,24.3,17.8,1980,28,49.13,36
1971,3,24,17.6,1990,28,153.05,154.1
1972,3,23.7,17.4,2000,28,261.94,253.4
1973,3,23.4,17.2,2010,28,297.81,208.3
1974,3,25,18.3,1960,29,23.28,17
1975,3,26.6,19.5,1970,29,27,19.8
1976,3,28.2,20.7,1980,29,49.13,36
1977,3,29.8,21.8,1990,29,153.05,154.1
1978,3,31.4,23,2000,29,261.94,253.4
1979,3,34.1,25,2010,29,297.81,208.3
1980,3,36.9,27,1960,30,23.28,17
1981,3,39.6,29,1970,30,27,19.8
1982,3,42.3,31,1980,30,49.13,36
1983,3,45,33,1990,30,153.05,154.1
1984,3,47.8,35,2000,30,261.94,253.4
1985,3,50.5,37,2010,30,297.81,208.3
1986,3,53.2,39,1960,31,23.28,17
1987,3,55.9,41,1970,31,27,19.8
1988,3,58.7,43,1980,31,49.13,36
1989,3,61.4,45,1990,31,153.05,154.1
1990,3,77.3,56.6,2000,31,261.94,253.4
1991,3,93.1,68.2,2010,31,297.81,208.3
1992,3,109,79.8,1960,32,23.28,17
1993,3,108.6,99.6,1970,32,27,19.8
1994,3,87.4,116.6,1980,32,49.13,36
1995,3,117.6,131,1990,32,153.05,154.1
1996,3,150.6,177,2000,32,261.94,253.4
1997,3,223.4,234.1,2010,32,297.81,208.3
1998,3,297.4,293.4,1960,33,23.28,17
1999,3,266.1,284.4,1970,33,27,19.8
2000,3,365.7,386.1,1980,33,49.13,36
2001,3,210.6,322.6,1990,33,153.05,154.1
2002,3,186.8,235,2000,33,261.94,253.4
2003,3,228.8,227,2010,33,297.81,208.3
2004,3,265.7,235,1960,34,23.28,17
2005,3,318.4,244.5,1970,34,27,19.8
2006,3,328.2,244.1,1980,34,49.13,36
2007,3,330.9,242,1990,34,153.05,154.1
2008,3,206.7,219.4,2000,34,261.94,253.4
2009,3,177.6,178.3,2010,34,297.81,208.3
2010,3,213.1,202.8,1960,35,23.28,17
2011,3,242.4,208.1,1970,35,27,19.8
2012,3,371.7,201.3,1980,35,49.13,36
2013,3,318.5,209.7,1990,35,153.05,154.1
2014,3,326.6,217.2,2000,35,261.94,253.4
2015,3,318.8,209.5,2010,35,297.81,208.3
2016,3,271.6,205.8,1960,36,23.28,17
2017,3,302.1,193.2,1970,36,27,19.8
2018,3,293.3,212.3,1980,36,49.13,36
2019,3,320,222.8,1990,36,153.05,154.1
1965,4,21.1,15.4,2000,36,261.94,253.4
1966,4,22.3,16.3,2010,36,297.81,208.3
1967,4,23.6,17.3,1960,37,23.28,17
1968,4,24.8,18.2,1970,37,27,19.8
1969,4,24.6,18,1980,37,49.13,36
1970,4,24.3,17.8,1990,37,153.05,154.1
1971,4,24,17.6,2000,37,261.94,253.4
1972,4,23.7,17.4,2010,37,297.81,208.3
1973,4,23.4,17.2,1960,38,23.28,17
1974,4,25,18.3,1970,38,27,19.8
1975,4,26.6,19.5,1980,38,49.13,36
1976,4,28.2,20.7,1990,38,153.05,154.1
1977,4,29.8,21.8,2000,38,261.94,253.4
1978,4,31.4,23,2010,38,297.81,208.3
1979,4,34.1,25,1960,39,23.28,17
1980,4,36.9,27,1970,39,27,19.8
1981,4,39.6,29,1980,39,49.13,36
1982,4,42.3,31,1990,39,153.05,154.1
1983,4,45,33,2000,39,261.94,253.4
1984,4,47.8,35,2010,39,297.81,208.3
1985,4,50.5,37,1960,40,23.28,17
1986,4,53.2,39,1970,40,27,19.8
1987,4,55.9,41,1980,40,49.13,36
1988,4,58.7,43,1990,40,153.05,154.1
1989,4,61.4,45,2000,40,261.94,253.4
1990,4,77.3,56.6,2010,40,297.81,208.3
1991,4,93.1,68.2,1960,41,23.28,17
1992,4,109,79.8,1970,41,27,19.8
1993,4,108.6,99.6,1980,41,49.13,36
1994,4,87.4,116.6,1990,41,153.05,154.1
1995,4,117.6,131,2000,41,261.94,253.4
1996,4,150.6,177,2010,41,297.81,208.3
1997,4,223.4,234.1,1960,42,23.28,17
1998,4,297.4,293.4,1970,42,27,19.8
1999,4,266.1,284.4,1980,42,49.13,36
2000,4,365.7,386.1,1990,42,153.05,154.1
2001,4,210.6,322.6,2000,42,261.94,253.4
2002,4,186.8,235,2010,42,297.81,208.3
2003,4,228.8,227,1960,43,23.28,17
2004,4,265.7,235,1970,43,27,19.8
2005,4,318.4,244.5,1980,43,49.13,36
2006,4,328.2,244.1,1990,43,153.05,154.1
2007,4,330.9,242,2000,43,261.94,253.4
2008,4,206.7,219.4,2010,43,297.81,208.3
2009,4,177.6,178.3,1960,44,23.28,17
2010,4,213.1,202.8,1970,44,27,19.8
2011,4,242.4,208.1,1980,44,49.13,36
2012,4,371.7,201.3,1990,44,153.05,154.1
2013,4,318.5,209.7,2000,44,261.94,253.4
2014,4,326.6,217.2,2010,44,297.81,208.3
2015,4,318.8,209.5,1960,45,23.28,17
2016,4,271.6,205.8,1970,45,27,19.8
2017,4,302.1,193.2,1980,45,49.13,36
2018,4,293.3,212.3,1990,45,153.05,154.1
2019,4,320,222.8,2000,45,261.94,253.4
1965,5,21.1,15.4,2010,45,297.81,208.3
1966,5,22.3,16.3,1960,46,23.28,17
1967,5,23.6,17.3,1970,46,27,19.8
1968,5,24.8,18.2,1980,46,49.13,36
1969,5,24.6,18,1990,46,153.05,154.1
1970,5,24.3,17.8,2000,46,261.94,253.4
1971,5,24,17.6,2010,46,297.81,208.3
1972,5,23.7,17.4,1960,47,23.28,17
1973,5,23.4,17.2,1970,47,27,19.8
1974,5,25,18.3,1980,47,49.13,36
1975,5,26.6,19.5,1990,47,153.05,154.1
1976,5,28.2,20.7,2000,47,261.94,253.4
1977,5,29.8,21.8,2010,47,297.81,208.3
1978,5,31.4,23,1960,48,23.28,17
1979,5,34.1,25,1970,48,27,19.8
1980,5,36.9,27,1980,48,49.13,36
1981,5,39.6,29,1990,48,153.05,154.1
1982,5,42.3,31,2000,48,261.94,253.4
1983,5,45,33,2010,48,297.81,208.3
1984,5,47.8,35,1960,49,23.28,17
1985,5,50.5,37,1970,49,27,19.8
1986,5,53.2,39,1980,49,49.13,36
1987,5,55.9,41,1990,49,153.05,154.1
1988,5,58.7,43,2000,49,261.94,253.4
1989,5,61.4,45,2010,49,297.81,208.3
1990,5,77.3,56.6,1960,50,23.28,17
1991,5,93.1,68.2,1970,50,27,19.8
1992,5,109,79.8,1980,50,49.13,36
1993,5,108.6,99.6,1990,50,153.05,154.1
1994,5,87.4,116.6,2000,50,261.94,253.4
1995,5,117.6,131,2010,50,297.81,208.3
1996,5,150.6,177,1960,51,23.28,17
1997,5,223.4,234.1,1970,51,27,19.8
1998,5,297.4,293.4,1980,51,49.13,36
1999,5,266.1,284.4,1990,51,153.05,154.1
2000,5,365.7,386.1,2000,51,261.94,253.4
2001,5,210.6,322.6,2010,51,297.81,208.3
2002,5,186.8,235,1960,52,23.28,17
2003,5,228.8,227,1970,52,27,19.8
2004,5,265.7,235,1980,52,49.13,36
2005,5,318.4,244.5,1990,52,153.05,154.1
2006,5,328.2,244.1,2000,52,261.94,253.4
2007,5,330.9,242,2010,52,297.81,208.3
2008,5,206.7,219.4,1960,53,23.28,17
2009,5,177.6,178.3,1970,53,27,19.8
2010,5,213.1,202.8,1980,53,49.13,36
2011,5,242.4,208.1,1990,53,153.05,154.1
2012,5,371.7,201.3,2000,53,261.94,253.4
2013,5,318.5,209.7,2010,53,297.81,208.3
2014,5,326.6,217.2,1960,54,23.28,17
2015,5,318.8,209.5,1970,54,27,19.8
2016,5,271.6,205.8,1980,54,49.13,36
2017,5,302.1,193.2,1990,54,153.05,154.1
2018,5,293.3,212.3,2000,54,261.94,253.4
2019,5,320,222.8,2010,54,297.81,208.3
1965,6,21.1,15.4,1960,55,23.28,17
1966,6,22.3,16.3,1970,55,27,19.8
1967,6,23.6,17.3,1980,55,49.13,36
1968,6,24.8,18.2,1990,55,153.05,154.1
1969,6,24.6,18,2000,55,261.94,253.4
1970,6,24.3,17.8,2010,55,297.81,208.3
1971,6,24,17.6,1960,56,23.28,17
1972,6,23.7,17.4,1970,56,27,19.8
1973,6,23.4,17.2,1980,56,49.13,36
1974,6,25,18.3,1990,56,153.05,154.1
1975,6,26.6,19.5,2000,56,261.94,253.4
1976,6,28.2,20.7,2010,56,297.81,208.3
1977,6,29.8,21.8,1960,57,23.28,17
1978,6,31.4,23,1970,57,27,19.8
1979,6,34.1,25,1980,57,49.13,36
1980,6,36.9,27,1990,57,153.05,154.1
1981,6,39.6,29,2000,57,261.94,253.4
1982,6,42.3,31,2010,57,297.81,208.3
1983,6,45,33,1960,58,23.28,17
1984,6,47.8,35,1970,58,27,19.8
1985,6,50.5,37,1980,58,49.13,36
1986,6,53.2,39,1990,58,153.05,154.1
1987,6,55.9,41,2000,58,261.94,253.4
1988,6,58.7,43,2010,58,297.81,208.3
1989,6,61.4,45,1960,59,23.28,17
1990,6,77.3,56.6,1970,59,27,19.8
1991,6,93.1,68.2,1980,59,49.13,36
1992,6,109,79.8,1990,59,153.05,154.1
1993,6,108.6,99.6,2000,59,261.94,253.4
1994,6,87.4,116.6,2010,59,297.81,208.3
1995,6,117.6,131,1960,60,23.28,17
1996,6,150.6,177,1970,60,27,19.8
1997,6,223.4,234.1,1980,60,49.13,36
1998,6,297.4,293.4,1990,60,153.05,154.1
1999,6,266.1,284.4,2000,60,261.94,253.4
2000,6,365.7,386.1,2010,60,297.81,208.3
2001,6,210.6,322.6,1960,61,23.28,17
2002,6,186.8,235,1970,61,27,19.8
2003,6,228.8,227,1980,61,49.13,36
2004,6,265.7,235,1990,61,153.05,154.1
2005,6,318.4,244.5,2000,61,261.94,253.4
2006,6,328.2,244.1,2010,61,297.81,208.3
2007,6,330.9,242,1960,62,23.28,17
2008,6,206.7,219.4,1970,62,27,19.8
2009,6,177.6,178.3,1980,62,49.13,36
2010,6,213.1,202.8,1990,62,153.05,154.1
2011,6,242.4,208.1,2000,62,261.94,253.4
2012,6,371.7,201.3,2010,62,297.81,208.3
2013,6,318.5,209.7,1960,63,23.28,17
2014,6,326.6,217.2,1970,63,27,19.8
2015,6,318.8,209.5,1980,63,49.13,36
2016,6,271.6,205.8,1990,63,153.05,154.1
2017,6,302.1,193.2,2000,63,261.94,253.4
2018,6,293.3,212.3,2010,63,297.81,208.3
2019,6,320,222.8,1960,64,23.28,17
1965,7,21.1,15.4,1970,64,27,19.8
1966,7,22.3,16.3,1980,64,49.13,36
1967,7,23.6,17.3,1990,64,153.05,154.1
1968,7,24.8,18.2,2000,64,261.94,253.4
1969,7,24.6,18,2010,64,297.81,208.3
1970,7,24.3,17.8,1960,65,23.28,17
1971,7,24,17.6,1970,65,27,19.8
1972,7,23.7,17.4,1980,65,49.13,36
1973,7,23.4,17.2,1990,65,153.05,154.1
1974,7,25,18.3,2000,65,261.94,253.4
1975,7,26.6,19.5,2010,65,297.81,208.3
1976,7,28.2,20.7,1960,66,23.28,17
1977,7,29.8,21.8,1970,66,27,19.8
1978,7,31.4,23,1980,66,49.13,36
1979,7,34.1,25,1990,66,153.05,154.1
1980,7,36.9,27,2000,66,261.94,253.4
1981,7,39.6,29,2010,66,297.81,208.3
1982,7,42.3,31,1960,67,23.28,17
1983,7,45,33,1970,67,27,19.8
1984,7,47.8,35,1980,67,49.13,36
1985,7,50.5,37,1990,67,153.05,154.1
1986,7,53.2,39,2000,67,261.94,253.4
1987,7,55.9,41,2010,67,297.81,208.3
1988,7,58.7,43,1960,68,23.28,17
1989,7,61.4,45,1970,68,27,19.8
1990,7,77.3,56.6,1980,68,49.13,36
1991,7,93.1,68.2,1990,68,153.05,154.1
1992,7,109,79.8,2000,68,261.94,253.4
1993,7,108.6,99.6,2010,68,297.81,208.3
1994,7,87.4,116.6,1960,69,23.28,17
1995,7,117.6,131,1970,69,27,19.8
1996,7,150.6,177,1980,69,49.13,36
1997,7,223.4,234.1,1990,69,153.05,154.1
1998,7,297.4,293.4,2000,69,261.94,253.4
1999,7,266.1,284.4,2010,69,297.81,208.3
2000,7,365.7,386.1,1960,70,23.28,17
2001,7,210.6,322.6,1970,70,27,19.8
2002,7,186.8,235,1980,70,49.13,36
2003,7,228.8,227,1990,70,153.05,154.1
2004,7,265.7,235,2000,70,261.94,253.4
2005,7,318.4,244.5,2010,70,297.81,208.3
2006,7,328.2,244.1,1960,71,23.28,17
2007,7,330.9,242,1970,71,27,19.8
2008,7,206.7,219.4,1980,71,49.13,36
2009,7,177.6,178.3,1990,71,153.05,154.1
2010,7,213.1,202.8,2000,71,261.94,253.4
2011,7,242.4,208.1,2010,71,297.81,208.3
2012,7,371.7,201.3,1960,72,23.28,17
2013,7,318.5,209.7,1970,72,27,19.8
2014,7,326.6,217.2,1980,72,49.13,36
2015,7,318.8,209.5,1990,72,153.05,154.1
2016,7,271.6,205.8,2000,72,261.94,253.4
2017,7,302.1,193.2,2010,72,297.81,208.3
2018,7,293.3,212.3,1960,73,23.28,17
2019,7,320,222.8,1970,73,27,19.8
1965,8,21.1,15.4,1980,73,49.13,36
1966,8,22.3,16.3,1990,73,153.05,154.1
1967,8,23.6,17.3,2000,73,261.94,253.4
1968,8,24.8,18.2,2010,73,297.81,208.3
1969,8,24.6,18,1960,74,23.28,17
1970,8,24.3,17.8,1970,74,27,19.8
1971,8,24,17.6,1980,74,49.13,36
1972,8,23.7,17.4,1990,74,153.05,154.1
1973,8,23.4,17.2,2000,74,261.94,253.4
1974,8,25,18.3,2010,74,297.81,208.3
1975,8,26.6,19.5,1960,75,23.28,17
1976,8,28.2,20.7,1970,75,27,19.8
1977,8,29.8,21.8,1980,75,49.13,36
1978,8,31.4,23,1990,75,153.05,154.1
1979,8,34.1,25,2000,75,261.94,253.4
1980,8,36.9,27,2010,75,297.81,208.3
1981,8,39.6,29,1960,76,23.28,17
1982,8,42.3,31,1970,76,27,19.8
1983,8,45,33,1980,76,49.13,36
1984,8,47.8,35,1990,76,153.05,154.1
1985,8,50.5,37,2000,76,261.94,253.4
1986,8,53.2,39,2010,76,297.81,208.3
1987,8,55.9,41,1960,77,23.28,17
1988,8,58.7,43,1970,77,27,19.8
1989,8,61.4,45,1980,77,49.13,36
1990,8,77.3,56.6,1990,77,153.05,154.1
1991,8,93.1,68.2,2000,77,261.94,253.4
1992,8,109,79.8,2010,77,297.81,208.3
1993,8,108.6,99.6,1960,78,23.28,17
1994,8,87.4,116.6,1970,78,27,19.8
1995,8,117.6,131,1980,78,49.13,36
1996,8,150.6,177,1990,78,153.05,154.1
1997,8,223.4,234.1,2000,78,261.94,253.4
1998,8,297.4,293.4,2010,78,297.81,208.3
1999,8,266.1,284.4,1960,79,23.28,17
2000,8,365.7,386.1,1970,79,27,19.8
2001,8,210.6,322.6,1980,79,49.13,36
2002,8,186.8,235,1990,79,153.05,154.1
2003,8,228.8,227,2000,79,261.94,253.4
2004,8,265.7,235,2010,79,297.81,208.3
2005,8,318.4,244.5,1960,80,23.28,17
2006,8,328.2,244.1,1970,80,27,19.8
2007,8,330.9,242,1980,80,49.13,36
2008,8,206.7,219.4,1990,80,153.05,154.1
2009,8,177.6,178.3,2000,80,261.94,253.4
2010,8,213.1,202.8,2010,80,297.81,208.3
2011,8,242.4,208.1,1960,81,23.28,17
2012,8,371.7,201.3,1970,81,27,19.8
2013,8,318.5,209.7,1980,81,49.13,36
2014,8,326.6,217.2,1990,81,153.05,154.1
2015,8,318.8,209.5,2000,81,261.94,253.4
2016,8,271.6,205.8,2010,81,297.81,208.3
2017,8,302.1,193.2,1960,82,23.28,17
2018,8,293.3,212.3,1970,82,27,19.8
2019,8,320,222.8,1980,82,49.13,36
1965,9,21.1,15.4,1990,82,153.05,154.1
1966,9,22.3,16.3,2000,82,261.94,253.4
1967,9,23.6,17.3,2010,82,297.81,208.3
1968,9,24.8,18.2,1960,83,23.28,17
1969,9,24.6,18,1970,83,27,19.8
1970,9,24.3,17.8,1980,83,49.13,36
1971,9,24,17.6,1990,83,153.05,154.1
1972,9,23.7,17.4,2000,83,261.94,253.4
1973,9,23.4,17.2,2010,83,297.81,208.3
1974,9,25,18.3,1960,84,23.28,17
1975,9,26.6,19.5,1970,84,27,19.8
1976,9,28.2,20.7,1980,84,49.13,36
1977,9,29.8,21.8,1990,84,153.05,154.1
1978,9,31.4,23,2000,84,261.94,253.4
1979,9,34.1,25,2010,84,297.81,208.3
1980,9,36.9,27,1960,85,23.28,17
1981,9,39.6,29,1970,85,27,19.8
1982,9,42.3,31,1980,85,49.13,36
1983,9,45,33,1990,85,153.05,154.1
1984,9,47.8,35,2000,85,261.94,253.4
1985,9,50.5,37,2010,85,297.81,208.3
1986,9,53.2,39,1960,86,23.28,17
1987,9,55.9,41,1970,86,27,19.8
1988,9,58.7,43,1980,86,49.13,36
1989,9,61.4,45,1990,86,153.05,154.1
1990,9,77.3,56.6,2000,86,261.94,253.4
1991,9,93.1,68.2,2010,86,297.81,208.3
1992,9,109,79.8,1960,87,23.28,17
1993,9,108.6,99.6,1970,87,27,19.8
1994,9,87.4,116.6,1980,87,49.13,36
1995,9,117.6,131,1990,87,153.05,154.1
1996,9,150.6,177,2000,87,261.94,253.4
1997,9,223.4,234.1,2010,87,297.81,208.3
1998,9,297.4,293.4,1960,88,23.28,17
1999,9,266.1,284.4,1970,88,27,19.8
2000,9,365.7,386.1,1980,88,49.13,36
2001,9,210.6,322.6,1990,88,153.05,154.1
2002,9,186.8,235,2000,88,261.94,253.4
2003,9,228.8,227,2010,88,297.81,208.3
2004,9,265.7,235,1960,89,23.28,17
2005,9,318.4,244.5,1970,89,27,19.8
2006,9,328.2,244.1,1980,89,49.13,36
2007,9,330.9,242,1990,89,153.05,154.1
2008,9,206.7,219.4,2000,89,261.94,253.4
2009,9,177.6,178.3,2010,89,297.81,208.3
2010,9,213.1,202.8,1960,90,23.28,17
2011,9,242.4,208.1,1970,90,27,19.8
2012,9,371.7,201.3,1980,90,49.13,36
2013,9,318.5,209.7,1990,90,153.05,154.1
2014,9,326.6,217.2,2000,90,261.94,253.4
2015,9,318.8,209.5,2010,90,297.81,208.3
2016,9,271.6,205.8,1960,91,23.28,17
2017,9,302.1,193.2,1970,91,27,19.8
2018,9,293.3,212.3,1980,91,49.13,36
2019,9,320,222.8,1990,91,153.05,154.1
1965,10,21.1,15.4,2000,91,261.94,253.4
1966,10,22.3,16.3,2010,91,297.81,208.3
1967,10,23.6,17.3,1960,92,23.28,17
1968,10,24.8,18.2,1970,92,27,19.8
1969,10,24.6,18,1980,92,49.13,36
1970,10,24.3,17.8,1990,92,153.05,154.1
1971,10,24,17.6,2000,92,261.94,253.4
1972,10,23.7,17.4,2010,92,297.81,208.3
1973,10,23.4,17.2,1960,93,23.28,17
1974,10,25,18.3,1970,93,27,19.8
1975,10,26.6,19.5,1980,93,49.13,36
1976,10,28.2,20.7,1990,93,153.05,154.1
1977,10,29.8,21.8,2000,93,261.94,253.4
1978,10,31.4,23,2010,93,297.81,208.3
1979,10,34.1,25,1960,94,23.28,17
1980,10,36.9,27,1970,94,27,19.8
1981,10,39.6,29,1980,94,49.13,36
1982,10,42.3,31,1990,94,153.05,154.1
1983,10,45,33,2000,94,261.94,253.4
1984,10,47.8,35,2010,94,297.81,208.3
1985,10,50.5,37,1960,95,23.28,17
1986,10,53.2,39,1970,95,27,19.8
1987,10,55.9,41,1980,95,49.13,36
1988,10,58.7,43,1990,95,153.05,154.1
1989,10,61.4,45,2000,95,261.94,253.4
1990,10,77.3,56.6,2010,95,297.81,208.3
1991,10,93.1,68.2,1960,96,23.28,17
1992,10,109,79.8,1970,96,27,19.8
